scenario,description,counterfactual_class,counterfactual_level,counterfactual,irrigation,additional_extension,sowing_window_shift,fertilizer,temperature,rainfall,ensemble_member,climate_anomalies,cereal_prodn_pctile,cereal_prodn_tercile
S1_IRRI_ir02_E05,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,0.02,0,0,0,0,0,5,"cool,wet",0.03,Low tercile
S1_IRRI_ir02_E06,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,0.02,0,0,0,0,0,6,midrange,0.67,Middle tercile
S1_IRRI_ir02_E07,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,0.02,0,0,0,0,0,7,"warm,wet",0.3,Low tercile
S1_IRRI_ir02_E08,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,0.02,0,0,0,0,0,8,midrange,0.09,Low tercile
S1_IRRI_ir02_E09,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,0.02,0,0,0,0,0,9,"warm,dry",1,High tercile
S1_IRRI_ir02_E10,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,0.02,0,0,0,0,0,10,"cool,wet",0.52,Middle tercile
S1_IRRI_ir02_E11,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,0.02,0,0,0,0,0,11,midrange,0.06,Low tercile
S1_IRRI_ir02_E12,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,0.02,0,0,0,0,0,12,"cool,wet",0,Low tercile
S1_IRRI_ir02_E13,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,0.02,0,0,0,0,0,13,"warm,dry",0.58,Middle tercile
S1_IRRI_ir02_E14,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,0.02,0,0,0,0,0,14,"warm,dry",0.88,High tercile
S1_IRRI_ir02_E15,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,0.02,0,0,0,0,0,15,"warm,dry",0.36,Middle tercile
S1_IRRI_ir02_E16,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,0.02,0,0,0,0,0,16,"warm,dry",0.45,Middle tercile
