scenario,description,counterfactual_class,counterfactual_level,counterfactual,irrigation,additional_extension,sowing_window_shift,fertilizer,temperature,rainfall,ensemble_member,climate_anomalies,cereal_prodn_pctile,cereal_prodn_tercile
S1_IRRI_ir08_E11,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,11,midrange,0.06,Low tercile
S1_IRRI_ir08_E12,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,12,"cool,wet",0,Low tercile
S1_IRRI_ir08_E13,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,13,"warm,dry",0.58,Middle tercile
S1_IRRI_ir08_E14,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,14,"warm,dry",0.88,High tercile
S1_IRRI_ir08_E15,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,15,"warm,dry",0.36,Middle tercile
S1_IRRI_ir08_E16,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,16,"warm,dry",0.45,Middle tercile
S1_IRRI_ir08_E17,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,17,"warm,wet",0.33,Low tercile
S1_IRRI_ir08_E18,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,18,"warm,wet",0.21,Low tercile
S1_IRRI_ir08_E19,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,19,"cool,wet",0.61,Middle tercile
S1_IRRI_ir08_E20,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,20,"cool,wet",0.18,Low tercile
S1_IRRI_ir08_E21,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,21,"cool,wet",0.85,High tercile
S1_IRRI_ir08_E22,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,22,"cool,wet",0.48,Middle tercile
S1_IRRI_ir08_E23,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,23,"cool,dry",0.76,High tercile
S1_IRRI_ir08_E24,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,24,"cool,dry",0.55,Middle tercile
S1_IRRI_ir08_E25,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,25,"cool,dry",0.94,High tercile
S1_IRRI_ir08_E26,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,26,midrange,0.82,High tercile
S1_IRRI_ir08_E27,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,27,midrange,0.73,High tercile
S1_IRRI_ir08_E28,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,28,"warm,dry",0.79,High tercile
S1_IRRI_ir08_E29,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,29,midrange,0.91,High tercile
S1_IRRI_ir08_E30,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,30,"cool,wet",0.42,Middle tercile
S1_IRRI_ir08_E31,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,31,"cool,dry",0.39,Middle tercile
S1_IRRI_ir08_E32,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,32,"cool,dry",0.97,High tercile
S1_IRRI_ir08_E33,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,33,"cool,dry",0.7,High tercile
S1_IRRI_ir08_E34,Backcast 30 Apr 2018,Irrigation,Irrigated area=8%,2018 land use+irrigated area=8%,0.08,0,0,0,0,0,34,"cool,dry",0.64,Middle tercile
S2_PACK_ad10_H,Historical,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,NA,NA,NA,NA
S2_PACK_ad10_E01,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,1,"warm,wet",0.12,Low tercile
S2_PACK_ad10_E02,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,2,midrange,0.15,Low tercile
S2_PACK_ad10_E03,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,3,"warm,dry",0.24,Low tercile
S2_PACK_ad10_E04,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,4,midrange,0.27,Low tercile
S2_PACK_ad10_E05,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,5,"cool,wet",0.03,Low tercile
S2_PACK_ad10_E06,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,6,midrange,0.67,Middle tercile
S2_PACK_ad10_E07,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,7,"warm,wet",0.3,Low tercile
S2_PACK_ad10_E08,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,8,midrange,0.09,Low tercile
S2_PACK_ad10_E09,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,9,"warm,dry",1,High tercile
S2_PACK_ad10_E10,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,10,"cool,wet",0.52,Middle tercile
S2_PACK_ad10_E11,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,11,midrange,0.06,Low tercile
S2_PACK_ad10_E12,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,12,"cool,wet",0,Low tercile
S2_PACK_ad10_E13,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,13,"warm,dry",0.58,Middle tercile
S2_PACK_ad10_E14,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,14,"warm,dry",0.88,High tercile
S2_PACK_ad10_E15,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,15,"warm,dry",0.36,Middle tercile
S2_PACK_ad10_E16,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,16,"warm,dry",0.45,Middle tercile
S2_PACK_ad10_E17,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,17,"warm,wet",0.33,Low tercile
S2_PACK_ad10_E18,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,18,"warm,wet",0.21,Low tercile
S2_PACK_ad10_E19,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,19,"cool,wet",0.61,Middle tercile
S2_PACK_ad10_E20,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,20,"cool,wet",0.18,Low tercile
S2_PACK_ad10_E21,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,21,"cool,wet",0.85,High tercile
S2_PACK_ad10_E22,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,22,"cool,wet",0.48,Middle tercile
S2_PACK_ad10_E23,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,23,"cool,dry",0.76,High tercile
S2_PACK_ad10_E24,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,24,"cool,dry",0.55,Middle tercile
S2_PACK_ad10_E25,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,25,"cool,dry",0.94,High tercile
S2_PACK_ad10_E26,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,26,midrange,0.82,High tercile
S2_PACK_ad10_E27,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,27,midrange,0.73,High tercile
S2_PACK_ad10_E28,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,28,"warm,dry",0.79,High tercile
S2_PACK_ad10_E29,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,29,midrange,0.91,High tercile
S2_PACK_ad10_E30,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,30,"cool,wet",0.42,Middle tercile
S2_PACK_ad10_E31,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,31,"cool,dry",0.39,Middle tercile
S2_PACK_ad10_E32,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,32,"cool,dry",0.97,High tercile
S2_PACK_ad10_E33,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,33,"cool,dry",0.7,High tercile
S2_PACK_ad10_E34,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,0.006,0.1,0,0,0,0,34,"cool,dry",0.64,Middle tercile
S2_PACK_ad20_H,Historical,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,NA,NA,NA,NA
S2_PACK_ad20_E01,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,1,"warm,wet",0.12,Low tercile
S2_PACK_ad20_E02,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,2,midrange,0.15,Low tercile
S2_PACK_ad20_E03,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,3,"warm,dry",0.24,Low tercile
S2_PACK_ad20_E04,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,4,midrange,0.27,Low tercile
S2_PACK_ad20_E05,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,5,"cool,wet",0.03,Low tercile
S2_PACK_ad20_E06,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,6,midrange,0.67,Middle tercile
S2_PACK_ad20_E07,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,7,"warm,wet",0.3,Low tercile
S2_PACK_ad20_E08,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,8,midrange,0.09,Low tercile
S2_PACK_ad20_E09,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,9,"warm,dry",1,High tercile
S2_PACK_ad20_E10,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,10,"cool,wet",0.52,Middle tercile
S2_PACK_ad20_E11,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,11,midrange,0.06,Low tercile
S2_PACK_ad20_E12,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,12,"cool,wet",0,Low tercile
S2_PACK_ad20_E13,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,13,"warm,dry",0.58,Middle tercile
S2_PACK_ad20_E14,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,14,"warm,dry",0.88,High tercile
S2_PACK_ad20_E15,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,15,"warm,dry",0.36,Middle tercile
S2_PACK_ad20_E16,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,16,"warm,dry",0.45,Middle tercile
S2_PACK_ad20_E17,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,17,"warm,wet",0.33,Low tercile
S2_PACK_ad20_E18,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,18,"warm,wet",0.21,Low tercile
S2_PACK_ad20_E19,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,19,"cool,wet",0.61,Middle tercile
S2_PACK_ad20_E20,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,20,"cool,wet",0.18,Low tercile
S2_PACK_ad20_E21,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,21,"cool,wet",0.85,High tercile
S2_PACK_ad20_E22,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,22,"cool,wet",0.48,Middle tercile
S2_PACK_ad20_E23,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,23,"cool,dry",0.76,High tercile
S2_PACK_ad20_E24,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,24,"cool,dry",0.55,Middle tercile
S2_PACK_ad20_E25,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,25,"cool,dry",0.94,High tercile
S2_PACK_ad20_E26,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,26,midrange,0.82,High tercile
S2_PACK_ad20_E27,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,27,midrange,0.73,High tercile
S2_PACK_ad20_E28,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,28,"warm,dry",0.79,High tercile
S2_PACK_ad20_E29,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,29,midrange,0.91,High tercile
S2_PACK_ad20_E30,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,30,"cool,wet",0.42,Middle tercile
S2_PACK_ad20_E31,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,31,"cool,dry",0.39,Middle tercile
S2_PACK_ad20_E32,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,32,"cool,dry",0.97,High tercile
S2_PACK_ad20_E33,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,33,"cool,dry",0.7,High tercile
S2_PACK_ad20_E34,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,0.006,0.2,0,0,0,0,34,"cool,dry",0.64,Middle tercile
S2_PACK_ad30_H,Historical,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,NA,NA,NA,NA
S2_PACK_ad30_E01,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,1,"warm,wet",0.12,Low tercile
S2_PACK_ad30_E02,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,2,midrange,0.15,Low tercile
S2_PACK_ad30_E03,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,3,"warm,dry",0.24,Low tercile
S2_PACK_ad30_E04,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,4,midrange,0.27,Low tercile
S2_PACK_ad30_E05,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,5,"cool,wet",0.03,Low tercile
S2_PACK_ad30_E06,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,6,midrange,0.67,Middle tercile
S2_PACK_ad30_E07,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,7,"warm,wet",0.3,Low tercile
S2_PACK_ad30_E08,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,8,midrange,0.09,Low tercile
S2_PACK_ad30_E09,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,9,"warm,dry",1,High tercile
S2_PACK_ad30_E10,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,10,"cool,wet",0.52,Middle tercile
S2_PACK_ad30_E11,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,11,midrange,0.06,Low tercile
S2_PACK_ad30_E12,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,12,"cool,wet",0,Low tercile
S2_PACK_ad30_E13,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,13,"warm,dry",0.58,Middle tercile
S2_PACK_ad30_E14,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,14,"warm,dry",0.88,High tercile
S2_PACK_ad30_E15,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,15,"warm,dry",0.36,Middle tercile
S2_PACK_ad30_E16,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,16,"warm,dry",0.45,Middle tercile
S2_PACK_ad30_E17,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,17,"warm,wet",0.33,Low tercile
S2_PACK_ad30_E18,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,18,"warm,wet",0.21,Low tercile
S2_PACK_ad30_E19,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,19,"cool,wet",0.61,Middle tercile
S2_PACK_ad30_E20,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,20,"cool,wet",0.18,Low tercile
S2_PACK_ad30_E21,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,21,"cool,wet",0.85,High tercile
S2_PACK_ad30_E22,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,22,"cool,wet",0.48,Middle tercile
S2_PACK_ad30_E23,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,23,"cool,dry",0.76,High tercile
S2_PACK_ad30_E24,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,24,"cool,dry",0.55,Middle tercile
S2_PACK_ad30_E25,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,25,"cool,dry",0.94,High tercile
S2_PACK_ad30_E26,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,26,midrange,0.82,High tercile
S2_PACK_ad30_E27,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,27,midrange,0.73,High tercile
S2_PACK_ad30_E28,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,28,"warm,dry",0.79,High tercile
S2_PACK_ad30_E29,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,29,midrange,0.91,High tercile
S2_PACK_ad30_E30,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,30,"cool,wet",0.42,Middle tercile
S2_PACK_ad30_E31,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,31,"cool,dry",0.39,Middle tercile
S2_PACK_ad30_E32,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,32,"cool,dry",0.97,High tercile
S2_PACK_ad30_E33,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,33,"cool,dry",0.7,High tercile
S2_PACK_ad30_E34,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,0.006,0.3,0,0,0,0,34,"cool,dry",0.64,Middle tercile
S2_PACK_ad40_H,Historical,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,NA,NA,NA,NA
S2_PACK_ad40_E01,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,1,"warm,wet",0.12,Low tercile
S2_PACK_ad40_E02,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,2,midrange,0.15,Low tercile
S2_PACK_ad40_E03,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,3,"warm,dry",0.24,Low tercile
S2_PACK_ad40_E04,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,4,midrange,0.27,Low tercile
S2_PACK_ad40_E05,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,5,"cool,wet",0.03,Low tercile
S2_PACK_ad40_E06,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,6,midrange,0.67,Middle tercile
S2_PACK_ad40_E07,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,7,"warm,wet",0.3,Low tercile
S2_PACK_ad40_E08,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,8,midrange,0.09,Low tercile
S2_PACK_ad40_E09,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,9,"warm,dry",1,High tercile
S2_PACK_ad40_E10,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,10,"cool,wet",0.52,Middle tercile
S2_PACK_ad40_E11,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,11,midrange,0.06,Low tercile
S2_PACK_ad40_E12,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,12,"cool,wet",0,Low tercile
S2_PACK_ad40_E13,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,13,"warm,dry",0.58,Middle tercile
S2_PACK_ad40_E14,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,14,"warm,dry",0.88,High tercile
S2_PACK_ad40_E15,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,15,"warm,dry",0.36,Middle tercile
S2_PACK_ad40_E16,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,16,"warm,dry",0.45,Middle tercile
S2_PACK_ad40_E17,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,17,"warm,wet",0.33,Low tercile
S2_PACK_ad40_E18,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,18,"warm,wet",0.21,Low tercile
S2_PACK_ad40_E19,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,19,"cool,wet",0.61,Middle tercile
S2_PACK_ad40_E20,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,0.006,0.4,0,0,0,0,20,"cool,wet",0.18,Low tercile
