scenario,simulation_mode,counterfactual_class,counterfactual_level,counterfactual,climate_anomalies,cereal_prodn_pctile,cereal_prodn_tercile
S1_IRRI_ir02_E14,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"warm,dry",88%,High tercile
S1_IRRI_ir02_E15,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"warm,dry",36%,Middle tercile
S1_IRRI_ir02_E16,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"warm,dry",45%,Middle tercile
S1_IRRI_ir02_E17,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"warm,wet",33%,Low tercile
S1_IRRI_ir02_E18,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"warm,wet",21%,Low tercile
S1_IRRI_ir02_E19,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"cool,wet",61%,Middle tercile
S1_IRRI_ir02_E20,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"cool,wet",18%,Low tercile
S1_IRRI_ir02_E21,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"cool,wet",85%,High tercile
S1_IRRI_ir02_E22,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"cool,wet",48%,Middle tercile
S1_IRRI_ir02_E23,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"cool,dry",76%,High tercile
S1_IRRI_ir02_E24,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"cool,dry",55%,Middle tercile
S1_IRRI_ir02_E25,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"cool,dry",94%,High tercile
S1_IRRI_ir02_E26,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,midrange,82%,High tercile
S1_IRRI_ir02_E27,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,midrange,73%,High tercile
S1_IRRI_ir02_E28,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"warm,dry",79%,High tercile
S1_IRRI_ir02_E29,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,midrange,91%,High tercile
S1_IRRI_ir02_E30,Backcast 30 Apr 2018,Irrigation,Irrigated area=2%,2018 landuse+irrigated area=2%,"cool,wet",42%,Middle tercile
