scenario,simulation_mode,counterfactual_class,counterfactual_level,counterfactual,climate_anomalies,cereal_prodn_pctile,cereal_prodn_tercile
S2_PACK_ad10_E15,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"warm,dry",36%,Middle tercile
S2_PACK_ad10_E16,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"warm,dry",45%,Middle tercile
S2_PACK_ad10_E17,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"warm,wet",33%,Low tercile
S2_PACK_ad10_E18,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"warm,wet",21%,Low tercile
S2_PACK_ad10_E19,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"cool,wet",61%,Middle tercile
S2_PACK_ad10_E20,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"cool,wet",18%,Low tercile
S2_PACK_ad10_E21,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"cool,wet",85%,High tercile
S2_PACK_ad10_E22,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"cool,wet",48%,Middle tercile
S2_PACK_ad10_E23,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"cool,dry",76%,High tercile
S2_PACK_ad10_E24,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"cool,dry",55%,Middle tercile
S2_PACK_ad10_E25,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"cool,dry",94%,High tercile
S2_PACK_ad10_E26,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,midrange,82%,High tercile
S2_PACK_ad10_E27,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,midrange,73%,High tercile
S2_PACK_ad10_E28,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"warm,dry",79%,High tercile
S2_PACK_ad10_E29,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,midrange,91%,High tercile
S2_PACK_ad10_E30,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"cool,wet",42%,Middle tercile
S2_PACK_ad10_E31,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"cool,dry",39%,Middle tercile
S2_PACK_ad10_E32,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"cool,dry",97%,High tercile
S2_PACK_ad10_E33,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"cool,dry",70%,High tercile
S2_PACK_ad10_E34,Backcast 30 Apr 2018,Extension package,10% additional uptake,2018 technology+10% additional uptake of extension package,"cool,dry",64%,Middle tercile
S2_PACK_ad20_H,Historical,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,NA,NA,NA
S2_PACK_ad20_E01,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"warm,wet",12%,Low tercile
S2_PACK_ad20_E02,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,midrange,15%,Low tercile
S2_PACK_ad20_E03,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"warm,dry",24%,Low tercile
S2_PACK_ad20_E04,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,midrange,27%,Low tercile
S2_PACK_ad20_E05,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"cool,wet",3%,Low tercile
S2_PACK_ad20_E06,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,midrange,67%,Middle tercile
S2_PACK_ad20_E07,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"warm,wet",30%,Low tercile
S2_PACK_ad20_E08,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,midrange,9%,Low tercile
S2_PACK_ad20_E09,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"warm,dry",100%,High tercile
S2_PACK_ad20_E10,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"cool,wet",52%,Middle tercile
S2_PACK_ad20_E11,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,midrange,6%,Low tercile
S2_PACK_ad20_E12,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"cool,wet",0%,Low tercile
S2_PACK_ad20_E13,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"warm,dry",58%,Middle tercile
S2_PACK_ad20_E14,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"warm,dry",88%,High tercile
S2_PACK_ad20_E15,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"warm,dry",36%,Middle tercile
S2_PACK_ad20_E16,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"warm,dry",45%,Middle tercile
S2_PACK_ad20_E17,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"warm,wet",33%,Low tercile
S2_PACK_ad20_E18,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"warm,wet",21%,Low tercile
S2_PACK_ad20_E19,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"cool,wet",61%,Middle tercile
S2_PACK_ad20_E20,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"cool,wet",18%,Low tercile
S2_PACK_ad20_E21,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"cool,wet",85%,High tercile
S2_PACK_ad20_E22,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"cool,wet",48%,Middle tercile
S2_PACK_ad20_E23,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"cool,dry",76%,High tercile
S2_PACK_ad20_E24,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"cool,dry",55%,Middle tercile
S2_PACK_ad20_E25,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"cool,dry",94%,High tercile
S2_PACK_ad20_E26,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,midrange,82%,High tercile
S2_PACK_ad20_E27,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,midrange,73%,High tercile
S2_PACK_ad20_E28,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"warm,dry",79%,High tercile
S2_PACK_ad20_E29,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,midrange,91%,High tercile
S2_PACK_ad20_E30,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"cool,wet",42%,Middle tercile
S2_PACK_ad20_E31,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"cool,dry",39%,Middle tercile
S2_PACK_ad20_E32,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"cool,dry",97%,High tercile
S2_PACK_ad20_E33,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"cool,dry",70%,High tercile
S2_PACK_ad20_E34,Backcast 30 Apr 2018,Extension package,20% additional uptake,2018 technology+20% additional uptake of extension package,"cool,dry",64%,Middle tercile
S2_PACK_ad30_H,Historical,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,NA,NA,NA
S2_PACK_ad30_E01,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"warm,wet",12%,Low tercile
S2_PACK_ad30_E02,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,midrange,15%,Low tercile
S2_PACK_ad30_E03,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"warm,dry",24%,Low tercile
S2_PACK_ad30_E04,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,midrange,27%,Low tercile
S2_PACK_ad30_E05,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"cool,wet",3%,Low tercile
S2_PACK_ad30_E06,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,midrange,67%,Middle tercile
S2_PACK_ad30_E07,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"warm,wet",30%,Low tercile
S2_PACK_ad30_E08,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,midrange,9%,Low tercile
S2_PACK_ad30_E09,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"warm,dry",100%,High tercile
S2_PACK_ad30_E10,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"cool,wet",52%,Middle tercile
S2_PACK_ad30_E11,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,midrange,6%,Low tercile
S2_PACK_ad30_E12,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"cool,wet",0%,Low tercile
S2_PACK_ad30_E13,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"warm,dry",58%,Middle tercile
S2_PACK_ad30_E14,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"warm,dry",88%,High tercile
S2_PACK_ad30_E15,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"warm,dry",36%,Middle tercile
S2_PACK_ad30_E16,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"warm,dry",45%,Middle tercile
S2_PACK_ad30_E17,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"warm,wet",33%,Low tercile
S2_PACK_ad30_E18,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"warm,wet",21%,Low tercile
S2_PACK_ad30_E19,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"cool,wet",61%,Middle tercile
S2_PACK_ad30_E20,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"cool,wet",18%,Low tercile
S2_PACK_ad30_E21,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"cool,wet",85%,High tercile
S2_PACK_ad30_E22,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"cool,wet",48%,Middle tercile
S2_PACK_ad30_E23,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"cool,dry",76%,High tercile
S2_PACK_ad30_E24,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"cool,dry",55%,Middle tercile
S2_PACK_ad30_E25,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"cool,dry",94%,High tercile
S2_PACK_ad30_E26,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,midrange,82%,High tercile
S2_PACK_ad30_E27,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,midrange,73%,High tercile
S2_PACK_ad30_E28,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"warm,dry",79%,High tercile
S2_PACK_ad30_E29,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,midrange,91%,High tercile
S2_PACK_ad30_E30,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"cool,wet",42%,Middle tercile
S2_PACK_ad30_E31,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"cool,dry",39%,Middle tercile
S2_PACK_ad30_E32,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"cool,dry",97%,High tercile
S2_PACK_ad30_E33,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"cool,dry",70%,High tercile
S2_PACK_ad30_E34,Backcast 30 Apr 2018,Extension package,30% additional uptake,2018 technology+30% additional uptake of extension package,"cool,dry",64%,Middle tercile
S2_PACK_ad40_H,Historical,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,NA,NA,NA
S2_PACK_ad40_E01,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"warm,wet",12%,Low tercile
S2_PACK_ad40_E02,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,midrange,15%,Low tercile
S2_PACK_ad40_E03,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"warm,dry",24%,Low tercile
S2_PACK_ad40_E04,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,midrange,27%,Low tercile
S2_PACK_ad40_E05,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"cool,wet",3%,Low tercile
S2_PACK_ad40_E06,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,midrange,67%,Middle tercile
S2_PACK_ad40_E07,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"warm,wet",30%,Low tercile
S2_PACK_ad40_E08,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,midrange,9%,Low tercile
S2_PACK_ad40_E09,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"warm,dry",100%,High tercile
S2_PACK_ad40_E10,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"cool,wet",52%,Middle tercile
S2_PACK_ad40_E11,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,midrange,6%,Low tercile
S2_PACK_ad40_E12,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"cool,wet",0%,Low tercile
S2_PACK_ad40_E13,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"warm,dry",58%,Middle tercile
S2_PACK_ad40_E14,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"warm,dry",88%,High tercile
S2_PACK_ad40_E15,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"warm,dry",36%,Middle tercile
S2_PACK_ad40_E16,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"warm,dry",45%,Middle tercile
S2_PACK_ad40_E17,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"warm,wet",33%,Low tercile
S2_PACK_ad40_E18,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"warm,wet",21%,Low tercile
S2_PACK_ad40_E19,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"cool,wet",61%,Middle tercile
S2_PACK_ad40_E20,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"cool,wet",18%,Low tercile
S2_PACK_ad40_E21,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"cool,wet",85%,High tercile
S2_PACK_ad40_E22,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"cool,wet",48%,Middle tercile
S2_PACK_ad40_E23,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"cool,dry",76%,High tercile
S2_PACK_ad40_E24,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"cool,dry",55%,Middle tercile
S2_PACK_ad40_E25,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"cool,dry",94%,High tercile
S2_PACK_ad40_E26,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,midrange,82%,High tercile
S2_PACK_ad40_E27,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,midrange,73%,High tercile
S2_PACK_ad40_E28,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"warm,dry",79%,High tercile
S2_PACK_ad40_E29,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,midrange,91%,High tercile
S2_PACK_ad40_E30,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"cool,wet",42%,Middle tercile
S2_PACK_ad40_E31,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"cool,dry",39%,Middle tercile
S2_PACK_ad40_E32,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"cool,dry",97%,High tercile
S2_PACK_ad40_E33,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"cool,dry",70%,High tercile
S2_PACK_ad40_E34,Backcast 30 Apr 2018,Extension package,40% additional uptake,2018 technology+40% additional uptake of extension package,"cool,dry",64%,Middle tercile
S3_CBAS_tp15_H,Historical,Temperature change,+1.5°C,Temperature increase of 1.5°C,NA,NA,NA
S3_CBAS_tp15_E01,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"warm,wet",12%,Low tercile
S3_CBAS_tp15_E02,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,midrange,15%,Low tercile
S3_CBAS_tp15_E03,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"warm,dry",24%,Low tercile
S3_CBAS_tp15_E04,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,midrange,27%,Low tercile
S3_CBAS_tp15_E05,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,wet",3%,Low tercile
S3_CBAS_tp15_E06,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,midrange,67%,Middle tercile
S3_CBAS_tp15_E07,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"warm,wet",30%,Low tercile
S3_CBAS_tp15_E08,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,midrange,9%,Low tercile
S3_CBAS_tp15_E09,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"warm,dry",100%,High tercile
S3_CBAS_tp15_E10,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,wet",52%,Middle tercile
S3_CBAS_tp15_E11,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,midrange,6%,Low tercile
S3_CBAS_tp15_E12,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,wet",0%,Low tercile
S3_CBAS_tp15_E13,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"warm,dry",58%,Middle tercile
S3_CBAS_tp15_E14,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"warm,dry",88%,High tercile
S3_CBAS_tp15_E15,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"warm,dry",36%,Middle tercile
S3_CBAS_tp15_E16,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"warm,dry",45%,Middle tercile
S3_CBAS_tp15_E17,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"warm,wet",33%,Low tercile
S3_CBAS_tp15_E18,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"warm,wet",21%,Low tercile
S3_CBAS_tp15_E19,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,wet",61%,Middle tercile
S3_CBAS_tp15_E20,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,wet",18%,Low tercile
S3_CBAS_tp15_E21,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,wet",85%,High tercile
S3_CBAS_tp15_E22,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,wet",48%,Middle tercile
S3_CBAS_tp15_E23,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,dry",76%,High tercile
S3_CBAS_tp15_E24,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,dry",55%,Middle tercile
S3_CBAS_tp15_E25,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,dry",94%,High tercile
S3_CBAS_tp15_E26,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,midrange,82%,High tercile
S3_CBAS_tp15_E27,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,midrange,73%,High tercile
S3_CBAS_tp15_E28,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"warm,dry",79%,High tercile
S3_CBAS_tp15_E29,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,midrange,91%,High tercile
S3_CBAS_tp15_E30,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,wet",42%,Middle tercile
S3_CBAS_tp15_E31,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,dry",39%,Middle tercile
S3_CBAS_tp15_E32,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,dry",97%,High tercile
S3_CBAS_tp15_E33,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,dry",70%,High tercile
S3_CBAS_tp15_E34,Backcast 30 Apr 2018,Temperature change,+1.5°C,Temperature increase of 1.5°C,"cool,dry",64%,Middle tercile
S4_CPCK_tp15_ir06_ad40_H,Historical,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,NA,NA,NA
S4_CPCK_tp15_ir06_ad40_E01,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,wet",12%,Low tercile
S4_CPCK_tp15_ir06_ad40_E02,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,midrange,15%,Low tercile
S4_CPCK_tp15_ir06_ad40_E03,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,dry",24%,Low tercile
S4_CPCK_tp15_ir06_ad40_E04,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,midrange,27%,Low tercile
S4_CPCK_tp15_ir06_ad40_E05,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"cool,wet",3%,Low tercile
S4_CPCK_tp15_ir06_ad40_E06,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,midrange,67%,Middle tercile
S4_CPCK_tp15_ir06_ad40_E07,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,wet",30%,Low tercile
S4_CPCK_tp15_ir06_ad40_E08,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,midrange,9%,Low tercile
S4_CPCK_tp15_ir06_ad40_E09,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,dry",100%,High tercile
S4_CPCK_tp15_ir06_ad40_E10,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"cool,wet",52%,Middle tercile
S4_CPCK_tp15_ir06_ad40_E11,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,midrange,6%,Low tercile
S4_CPCK_tp15_ir06_ad40_E12,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"cool,wet",0%,Low tercile
S4_CPCK_tp15_ir06_ad40_E13,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,dry",58%,Middle tercile
S4_CPCK_tp15_ir06_ad40_E14,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,dry",88%,High tercile
S4_CPCK_tp15_ir06_ad40_E15,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,dry",36%,Middle tercile
S4_CPCK_tp15_ir06_ad40_E16,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,dry",45%,Middle tercile
S4_CPCK_tp15_ir06_ad40_E17,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,wet",33%,Low tercile
S4_CPCK_tp15_ir06_ad40_E18,Backcast 30 Apr 2018,Temperature change,+1.5°C+irrigated area=6%+40% additional uptake,Temperature increase of 1.5°C+irrigated area=6%+40% additional uptake of extension package,"warm,wet",21%,Low tercile
