Latitude,Longitude,% Yield Anomaly,crop,temperature,precipitation,type,datetime
8.875,30.125,-13.20321748,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,30.125,-25.3915362,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,30.125,-21.74123892,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,30.125,-18.61981142,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,30.125,-9.27492441,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,30.125,-8.48483272,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,30.125,-13.04677359,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,30.125,-13.04677359,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,30.125,-17.03709067,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,30.125,-15.36605596,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,30.125,-0.4144602,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,30.125,3.86233807,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,30.125,7.7126817,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,30.125,8.46526391,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,30.125,6.70743916,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,30.125,9.6182763,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,30.125,5.96201697,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,30.125,,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,30.125,4.78264457,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,30.125,,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,30.125,4.4258047,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,30.125,4.01704829,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,30.375,-17.04104793,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,30.375,-17.04104793,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,30.375,-10.23610846,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,30.375,-6.09530913,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,30.375,-8.54862676,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,30.375,-3.15108545,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,30.375,-23.43367412,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,30.375,-28.89761014,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,30.375,-26.18467336,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,30.375,-20.46185333,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,30.375,-4.20276349,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,30.375,-4.19977812,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.375,30.375,-10.22850041,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.125,30.375,-10.58583965,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.875,30.375,-13.62275703,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.625,30.375,-13.45474281,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.375,30.375,-2.54528429,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
6.125,30.375,2.95425369,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.875,30.375,7.83117476,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.625,30.375,8.17289003,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.375,30.375,6.77136119,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
5.125,30.375,9.83529078,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.875,30.375,3.61922057,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.625,30.375,4.74081954,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.375,30.375,4.99335126,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
4.125,30.375,5.35109478,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.875,30.375,2.56382329,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
3.625,30.375,,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.375,30.625,-13.14346863,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
10.125,30.625,-13.14346863,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.875,30.625,-23.64200955,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.625,30.625,-23.30052018,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.375,30.625,-3.74731574,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
9.125,30.625,-3.35414613,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.875,30.625,-6.30959811,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.625,30.625,-5.57652804,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.375,30.625,-22.291834,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
8.125,30.625,-19.3061931,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.875,30.625,-10.56961324,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
7.625,30.625,-8.44103023,maize,-1,-20,Temperature/Precipitation Sensitivity Tests,2018-01-01
