scenario,GID_1,year,herbage_anpp,herbage_prodn,total_area_rangeland,mean_anomaly_herbage_anpp,total_anomaly_herbage_prodn,rel_anomaly_mean_herbage_anpp,rel_anomaly_total_herbage_prodn
S0_BASE_bs00_E01,ETH.8,2018,1.452597096,76869379.6,13128.6802,0.096206078,9512705.962,7.092798196,14.1228856
S0_BASE_bs00_E10,ETH.8,2018,1.42902195,72015829.28,13128.6802,0.072630931,4659155.646,5.354719266,6.917140343
S0_BASE_bs00_E11,ETH.8,2018,1.209821859,62949003.21,13128.6802,-0.146569159,-4407670.424,-10.80581907,-6.543776861
S0_BASE_bs00_E12,ETH.8,2018,1.510355737,79252160.1,13128.6802,0.153964718,11895486.46,11.35105704,17.66044227
S0_BASE_bs00_E13,ETH.8,2018,1.365367104,66788452.83,13128.6802,0.008976085,-568220.8048,0.661762347,-0.843599861
S0_BASE_bs00_E14,ETH.8,2018,1.362004365,66581420.48,13128.6802,0.005613346,-775253.1568,0.413844268,-1.150967105
S0_BASE_bs00_E15,ETH.8,2018,1.177467127,59588098.32,13128.6802,-0.178923892,-7768575.32,-13.19117344,-11.53349015
S0_BASE_bs00_E16,ETH.8,2018,1.382665021,67243157.21,13128.6802,0.026274003,-113516.4253,1.937052268,-0.168530331
S0_BASE_bs00_E17,ETH.8,2018,1.41118958,69370636.88,13128.6802,0.054798561,2013963.242,4.040026831,2.98999807
S0_BASE_bs00_E18,ETH.8,2018,1.427112746,72965294.82,13128.6802,0.070721727,5608621.185,5.213963095,8.326749054
S0_BASE_bs00_E19,ETH.8,2018,1.162915801,56263162.47,13128.6802,-0.193475217,-11093511.17,-14.26397069,-16.46980258
S0_BASE_bs00_E02,ETH.8,2018,1.362468435,64089964.84,13128.6802,0.006077416,-3266708.8,0.448057825,-4.849866575
S0_BASE_bs00_E20,ETH.8,2018,1.38229375,72073740.67,13128.6802,0.025902731,4717067.037,1.909680245,7.003117557
S0_BASE_bs00_E21,ETH.8,2018,1.67744233,91391387.11,13128.6802,0.321051312,24034713.47,23.66952503,35.68275001
S0_BASE_bs00_E22,ETH.8,2018,1.281691431,61050880.72,13128.6802,-0.074699587,-6305792.92,-5.507231039,-9.361793835
S0_BASE_bs00_E23,ETH.8,2018,1.463598785,72398026.98,13128.6802,0.107207766,5041353.344,7.903898268,7.484563997
S0_BASE_bs00_E24,ETH.8,2018,1.441745564,77950192.17,13128.6802,0.085354546,10593518.54,6.292768428,15.72749657
S0_BASE_bs00_E25,ETH.8,2018,1.251216888,60199074.66,13128.6802,-0.10517413,-7157598.975,-7.75396834,-10.62641397
S0_BASE_bs00_E26,ETH.8,2018,1.46852839,73626979.42,13128.6802,0.112137372,6270305.787,8.267333711,9.309108434
S0_BASE_bs00_E27,ETH.8,2018,1.276544308,57478725.89,13128.6802,-0.079846711,-9877947.749,-5.886703011,-14.66513593
S0_BASE_bs00_E28,ETH.8,2018,1.351757819,66811284.77,13128.6802,-0.004633199,-545388.8692,-0.34158288,-0.809702795
S0_BASE_bs00_E29,ETH.8,2018,1.669411754,89633602.05,13128.6802,0.313020736,22276928.42,23.0774704,33.07308276
S0_BASE_bs00_E03,ETH.8,2018,1.256557785,58244168.17,13128.6802,-0.099833234,-9112505.471,-7.360210483,-13.52873439
S0_BASE_bs00_E30,ETH.8,2018,1.40190281,75545220.64,13128.6802,0.045511791,8188546.999,3.355359234,12.15699434
S0_BASE_bs00_E31,ETH.8,2018,1.289903085,60300739.74,13128.6802,-0.066487933,-7055933.892,-4.90182642,-10.47547854
S0_BASE_bs00_E32,ETH.8,2018,1.422503508,70174528.96,13128.6802,0.06611249,2817855.323,4.874146807,4.183483492
S0_BASE_bs00_E33,ETH.8,2018,1.282264201,59990917.64,13128.6802,-0.074126817,-7365755.993,-5.46500353,-10.93545093
S0_BASE_bs00_E34,ETH.8,2018,1.260953306,66094171.54,13128.6802,-0.095437713,-1262502.094,-7.036150449,-1.874353388
S0_BASE_bs00_E04,ETH.8,2018,1.375031625,67310349.09,13128.6802,0.018640607,-46324.54597,1.374279719,-0.068774991
S0_BASE_bs00_E05,ETH.8,2018,1.515881269,81602601.2,13128.6802,0.15949025,14245927.56,11.7584272,21.14998676
S0_BASE_bs00_E06,ETH.8,2018,1.389106378,76305106.93,13128.6802,0.03271536,8948433.294,2.411941642,13.28514728
S0_BASE_bs00_E07,ETH.8,2018,1.279315593,66698446.98,13128.6802,-0.077075425,-658226.659,-5.682389834,-0.977225601
S0_BASE_bs00_E08,ETH.8,2018,1.16957975,52962108.58,13128.6802,-0.186811269,-14394565.06,-13.77267073,-21.37065903
S0_BASE_bs00_E09,ETH.8,2018,1.572642735,82913669.12,13128.6802,0.216251717,15556995.49,15.94316934,23.09644264
