scenario,GID_1,non_temporal,lt_yield_meher_maize,lt_yield_meher_wheat,lt_yield_meher_teff,lt_yield_meher_sorghum,lt_yield_meher_barley,lt_yield_belg_maize,lt_yield_belg_wheat,lt_yield_belg_teff,lt_yield_belg_sorghum,lt_yield_belg_barley
S0_BASE_bs00_H,ETH.8,NA,45.83,12.43,7.18,27.11,24.29,47.32,15.91,11.31,29.68,27.19
S1_IRRI_ir02_H,ETH.8,NA,45.92,12.58,7.26,27.13,24.39,47.42,16.05,11.39,29.75,27.26
S1_IRRI_ir04_H,ETH.8,NA,46.06,12.79,7.38,27.16,24.53,47.57,16.24,11.5,29.84,27.36
S1_IRRI_ir06_H,ETH.8,NA,46.17,12.96,7.48,27.19,24.64,47.68,16.4,11.6,29.9,27.44
S1_IRRI_ir08_H,ETH.8,NA,46.33,13.2,7.61,27.22,24.8,47.83,16.61,11.72,30,27.56
S2_PACK_ad10_H,ETH.8,NA,46.37,13.26,7.63,27.21,24.82,47.86,16.68,11.75,30,27.57
S2_PACK_ad20_H,ETH.8,NA,46.32,13.42,7.33,27.15,24.79,47.83,16.63,11.58,29.98,27.47
S2_PACK_ad30_H,ETH.8,NA,46.32,13.42,7.33,27.15,24.79,47.83,16.63,11.58,29.98,27.47
S2_PACK_ad40_H,ETH.8,NA,47.6,16.12,7.59,27.35,26.16,49.14,18.5,12.19,30.87,28.29
