scenario,GID_2,cropping_year,yield_meher_maize,yield_meher_wheat,yield_meher_teff,yield_meher_sorghum,yield_meher_barley,yield_belg_maize,yield_belg_wheat,yield_belg_teff,yield_belg_sorghum,yield_belg_barley,rel_anomaly_yield_meher_maize,rel_anomaly_yield_meher_wheat,rel_anomaly_yield_meher_teff,rel_anomaly_yield_meher_sorghum,rel_anomaly_yield_meher_barley,rel_anomaly_yield_belg_maize,rel_anomaly_yield_belg_wheat,rel_anomaly_yield_belg_teff,rel_anomaly_yield_belg_sorghum,rel_anomaly_yield_belg_barley
S0_BASE_bs00_E01,ETH.8.1,2018,47.55,10.94,5.94,30.80,28.77,46.61,12.16,6.54,26.68,34.15,2.54,15.91,-8.20,4.95,2.40,3.37,11.03,-24.63,-12.26,17.43
S0_BASE_bs00_E02,ETH.8.1,2018,48.51,11.65,4.36,33.02,27.82,48.17,10.13,6.36,30.03,34.94,4.61,23.42,-32.54,12.50,-0.99,6.83,-7.48,-26.78,-1.25,20.14
S0_BASE_bs00_E03,ETH.8.1,2018,47.50,9.69,4.26,31.62,29.06,49.32,13.75,3.81,28.92,33.76,2.45,2.69,-34.17,7.73,3.40,9.38,25.56,-56.10,-4.89,16.11
S0_BASE_bs00_E04,ETH.8.1,2018,46.95,8.15,4.72,32.31,31.38,47.63,10.02,4.12,30.88,32.92,1.24,-13.69,-26.97,10.07,11.66,5.64,-8.45,-52.57,1.56,13.19
S0_BASE_bs00_E05,ETH.8.1,2018,44.05,11.14,5.65,31.14,28.95,48.07,10.96,6.56,27.95,33.74,-5.00,17.98,-12.68,6.11,3.04,6.62,0.11,-24.43,-8.10,16.03
S0_BASE_bs00_E06,ETH.8.1,2018,48.83,13.00,6.43,32.35,29.08,45.76,7.24,5.25,29.71,30.92,5.31,37.68,-0.59,10.23,3.47,1.48,-33.86,-39.57,-2.31,6.34
S0_BASE_bs00_E07,ETH.8.1,2018,45.56,11.89,5.68,29.86,27.72,49.35,13.07,5.63,27.78,32.92,-1.74,25.93,-12.17,1.74,-1.37,9.46,19.37,-35.13,-8.64,13.22
S0_BASE_bs00_E08,ETH.8.1,2018,46.42,11.85,4.07,30.65,27.60,47.92,16.93,4.24,28.07,35.41,0.11,25.58,-37.10,4.41,-1.79,6.28,54.59,-51.19,-7.69,21.75
S0_BASE_bs00_E09,ETH.8.1,2018,49.89,8.56,5.65,33.58,32.67,45.90,8.14,6.18,33.71,29.00,7.60,-9.36,-12.64,14.41,16.26,1.80,-25.66,-28.75,10.85,-0.27
S0_BASE_bs00_E10,ETH.8.1,2018,49.75,12.05,7.11,29.36,31.14,50.96,6.81,6.80,27.82,34.14,7.28,27.60,9.89,0.05,10.81,13.01,-37.78,-21.65,-8.52,17.41
S0_BASE_bs00_E11,ETH.8.1,2018,46.42,7.72,7.46,32.58,27.54,48.72,13.78,4.86,31.26,33.57,0.11,-18.27,15.29,11.00,-2.00,8.05,25.87,-43.98,2.79,15.45
S0_BASE_bs00_E12,ETH.8.1,2018,46.79,10.01,5.76,30.37,28.99,45.39,11.28,5.91,30.00,32.03,0.90,6.07,-10.98,3.48,3.18,0.66,3.03,-31.88,-1.35,10.13
S0_BASE_bs00_E13,ETH.8.1,2018,50.11,9.08,3.81,33.36,27.90,48.41,13.74,4.39,30.95,34.12,8.07,-3.80,-41.07,13.65,-0.73,7.37,25.50,-49.45,1.79,17.33
S0_BASE_bs00_E14,ETH.8.1,2018,46.87,8.31,8.06,32.99,32.54,46.11,8.48,5.51,30.66,25.11,1.09,-11.92,24.59,12.39,15.82,2.26,-22.60,-36.47,0.83,-13.66
S0_BASE_bs00_E15,ETH.8.1,2018,46.78,6.44,7.42,30.12,28.18,46.04,6.38,7.07,34.55,30.66,0.88,-31.73,14.75,2.63,0.28,2.10,-41.74,-18.54,13.61,5.43
S0_BASE_bs00_E16,ETH.8.1,2018,45.51,7.81,4.34,30.70,28.58,47.54,6.96,3.76,33.91,31.30,-1.86,-17.30,-32.90,4.60,1.71,5.43,-36.45,-56.72,11.50,7.64
S0_BASE_bs00_E17,ETH.8.1,2018,48.45,9.88,6.62,31.55,27.43,49.04,13.15,6.49,29.50,33.69,4.48,4.65,2.28,7.50,-2.38,8.76,20.10,-25.23,-3.00,15.87
S0_BASE_bs00_E18,ETH.8.1,2018,47.73,7.29,6.56,30.57,32.76,48.70,7.49,3.88,32.99,31.41,2.93,-22.75,1.43,4.16,16.60,8.00,-31.64,-55.33,8.47,8.02
S0_BASE_bs00_E19,ETH.8.1,2018,46.93,11.96,6.56,32.65,30.66,46.59,6.46,6.90,26.52,30.32,1.20,26.69,1.38,11.24,9.11,3.33,-41.01,-20.49,-12.79,4.25
S0_BASE_bs00_E20,ETH.8.1,2018,47.83,11.37,4.89,30.26,29.97,46.56,10.39,5.58,27.99,31.76,3.15,20.48,-24.45,3.11,6.67,3.25,-5.15,-35.77,-7.97,9.22
S0_BASE_bs00_E21,ETH.8.1,2018,50.46,10.10,6.55,34.09,32.85,47.94,10.86,8.30,29.57,33.97,8.83,7.00,1.29,16.14,16.91,6.32,-0.84,-4.32,-2.75,16.80
S0_BASE_bs00_E22,ETH.8.1,2018,44.41,10.92,3.03,29.16,24.38,44.90,16.15,5.30,27.63,37.08,-4.23,15.69,-53.16,-0.64,-13.25,-0.43,47.48,-38.93,-9.13,27.51
S0_BASE_bs00_E23,ETH.8.1,2018,47.35,10.11,6.64,31.11,28.53,46.10,7.05,5.89,30.54,32.32,2.12,7.11,2.70,6.00,1.53,2.25,-35.64,-32.09,0.43,11.14
S0_BASE_bs00_E24,ETH.8.1,2018,46.32,11.22,4.85,29.93,26.37,47.48,9.74,8.45,27.35,34.11,-0.12,18.87,-25.04,1.97,-6.17,5.30,-11.01,-2.62,-10.05,17.28
S0_BASE_bs00_E25,ETH.8.1,2018,47.80,13.15,4.85,33.19,31.43,49.12,15.97,5.13,30.83,36.14,3.08,39.34,-25.09,13.07,11.83,8.93,45.87,-40.93,1.39,24.29
S0_BASE_bs00_E26,ETH.8.1,2018,48.44,12.67,8.11,31.05,30.29,47.21,11.46,5.95,27.80,32.25,4.46,34.20,25.29,5.80,7.79,4.70,4.67,-31.50,-8.57,10.91
S0_BASE_bs00_E27,ETH.8.1,2018,49.73,12.04,4.28,32.27,24.83,50.14,13.41,7.05,28.44,34.35,7.25,27.49,-33.80,9.96,-11.65,11.21,22.42,-18.79,-6.49,18.13
S0_BASE_bs00_E28,ETH.8.1,2018,50.32,9.45,4.73,30.97,31.10,49.00,8.01,5.88,29.85,30.26,8.52,0.16,-26.86,5.53,10.66,8.67,-26.86,-32.26,-1.83,4.05
S0_BASE_bs00_E29,ETH.8.1,2018,48.65,12.61,5.31,32.81,32.55,49.03,10.50,6.24,29.83,34.25,4.91,33.56,-17.94,11.79,15.83,8.73,-4.10,-28.10,-1.90,17.76
S0_BASE_bs00_E30,ETH.8.1,2018,47.00,9.33,7.37,28.45,30.04,46.98,6.88,7.01,30.14,30.56,1.36,-1.17,13.93,-3.06,6.91,4.19,-37.19,-19.23,-0.88,5.09
S0_BASE_bs00_E31,ETH.8.1,2018,49.25,11.17,4.29,34.84,29.45,48.96,16.39,4.04,30.90,37.36,6.20,18.32,-33.74,18.71,4.82,8.59,49.68,-53.47,1.62,28.46
S0_BASE_bs00_E32,ETH.8.1,2018,47.91,12.56,3.23,30.53,27.62,48.27,16.55,5.50,29.12,34.39,3.32,33.02,-50.11,4.01,-1.69,7.06,51.16,-36.58,-4.25,18.27
S0_BASE_bs00_E33,ETH.8.1,2018,47.28,12.08,2.47,32.38,29.03,48.40,11.15,5.37,30.32,34.73,1.96,27.97,-61.82,10.33,3.29,7.34,1.85,-38.12,-0.30,19.44
S0_BASE_bs00_E34,ETH.8.1,2018,45.14,12.41,2.64,33.57,27.55,49.75,17.10,5.93,27.69,36.42,-2.66,31.48,-59.22,14.38,-1.97,10.33,56.17,-31.65,-8.94,25.24
S0_BASE_bs00_E01,ETH.8.10,2018,45.71,9.40,2.93,NA,26.92,41.98,5.27,2.10,NA,30.19,-14.29,60.99,-55.16,NA,-21.30,-16.74,-36.54,-81.53,NA,-18.47
S0_BASE_bs00_E02,ETH.8.10,2018,50.66,8.20,0.85,NA,38.73,43.78,5.93,1.87,NA,32.52,-5.00,40.37,-86.95,NA,13.25,-13.16,-28.67,-83.55,NA,-12.19
S0_BASE_bs00_E03,ETH.8.10,2018,53.83,8.11,2.65,NA,39.36,48.30,4.84,2.92,NA,32.92,0.93,38.80,-59.53,NA,15.09,-4.21,-41.80,-74.31,NA,-11.10
S0_BASE_bs00_E04,ETH.8.10,2018,47.53,10.63,0.79,NA,33.85,42.53,4.60,1.88,NA,32.39,-10.87,82.01,-87.91,NA,-1.02,-15.65,-44.67,-83.46,NA,-12.52
S0_BASE_bs00_E05,ETH.8.10,2018,48.31,9.38,3.00,NA,30.58,38.53,5.90,2.34,NA,30.67,-9.41,60.56,-54.19,NA,-10.60,-23.59,-28.97,-79.42,NA,-17.17
S0_BASE_bs00_E06,ETH.8.10,2018,49.91,9.07,0.98,NA,30.21,44.28,5.44,2.00,NA,29.20,-6.42,55.33,-85.04,NA,-11.67,-12.17,-34.56,-82.42,NA,-21.14
S0_BASE_bs00_E07,ETH.8.10,2018,46.12,8.22,3.81,NA,22.36,44.61,7.12,2.15,NA,31.55,-13.52,40.74,-41.81,NA,-34.63,-11.53,-14.36,-81.10,NA,-14.80
S0_BASE_bs00_E08,ETH.8.10,2018,48.36,10.01,0.72,NA,32.93,42.75,5.20,1.94,NA,30.96,-9.32,71.46,-88.94,NA,-3.72,-15.21,-37.41,-82.96,NA,-16.40
S0_BASE_bs00_E09,ETH.8.10,2018,53.34,3.22,5.73,NA,42.56,51.99,5.38,3.14,NA,29.61,0.02,-44.78,-12.40,NA,24.46,3.12,-35.30,-72.45,NA,-20.03
S0_BASE_bs00_E10,ETH.8.10,2018,47.45,9.34,2.31,NA,33.46,46.10,5.70,3.04,NA,31.89,-11.02,59.99,-64.67,NA,-2.17,-8.57,-31.45,-73.26,NA,-13.88
S0_BASE_bs00_E11,ETH.8.10,2018,46.19,9.50,0.94,NA,30.88,41.75,5.18,1.95,NA,31.90,-13.38,62.60,-85.55,NA,-9.69,-17.19,-37.61,-82.82,NA,-13.86
S0_BASE_bs00_E12,ETH.8.10,2018,51.57,8.43,2.63,NA,38.22,45.22,5.98,3.09,NA,29.79,-3.30,44.43,-59.74,NA,11.76,-10.31,-28.03,-72.89,NA,-19.55
S0_BASE_bs00_E13,ETH.8.10,2018,52.23,8.14,3.32,NA,36.98,43.91,5.30,2.08,NA,32.27,-2.07,39.40,-49.27,NA,8.14,-12.91,-36.21,-81.69,NA,-12.85
S0_BASE_bs00_E14,ETH.8.10,2018,56.01,5.16,8.69,NA,39.06,47.38,4.40,3.02,NA,30.54,5.03,-11.63,32.82,NA,14.21,-6.04,-47.05,-73.51,NA,-17.53
S0_BASE_bs00_E15,ETH.8.10,2018,51.78,8.43,6.46,NA,33.73,47.32,5.38,3.02,NA,31.40,-2.90,44.41,-1.28,NA,-1.37,-6.16,-35.26,-73.44,NA,-15.20
S0_BASE_bs00_E16,ETH.8.10,2018,54.83,3.14,4.45,NA,39.64,50.49,5.08,3.15,NA,32.74,2.80,-46.17,-32.01,NA,15.89,0.14,-38.89,-72.30,NA,-11.58
