scenario,GID_2,month,herbage_anpp,herbage_prodn,total_area_rangeland,mean_anomaly_herbage_anpp,total_anomaly_herbage_prodn,rel_anomaly_mean_herbage_anpp,rel_anomaly_total_herbage_prodn,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.12,2019-04,1.349723709,56797.62554,2800,-0.86944954,-49403.95722,-39.17898436,-46.51904043,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.12,2018-05,2.987410952,142686.6735,2800,-0.444165434,-19368.85166,-12.94348091,-11.95198475,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.12,2018-06,4.998194292,241102.1017,2800,1.258391736,60659.54017,33.64861425,33.61709103,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.12,2018-07,2.187820407,95384.89436,2800,0.403438889,7559.918923,22.60945234,8.607937419,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.12,2018-08,0,0,2800,-0.050382474,-2886.243194,-100,-100,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.12,2018-09,1.065338342,89704.11671,2800,0.088635466,15452.89437,9.07496726,20.81163634,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.12,2018-10,2.213712951,113389.0628,2800,-0.255997737,-7012.715801,-10.36549497,-5.824428746,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.12,2018-11,2.60997318,129881.4318,2800,-0.415505158,-17516.81282,-13.73353604,-11.88400368,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.12,2018-12,0.743530999,28050.31172,2800,-0.282071564,-20652.67318,-27.50300891,-42.40535405,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.13,2019-01,0.505336362,21346.95516,3884.615385,-0.006224793,1116.2976,-1.216822917,5.517851296,,,,,,,,,
S0_BASE_bs00_E01,ETH.8.13,2019-02,0.028015379,1812.882564,3884.615385,-0.02242816,-146.3858333,-44.46190825,-7.471453813,,,,,,,,,
