"State/County","Cereal area (Hectares)"," Mid-2014 Population "," 2013 Net Cereal production (Tonnes)"," 2014 Cereal Requirements (Tonnes)"," 2014 Cereal Gap (Tonnes)"
"Abyei ","5,936 ","62,941 ","4,274","5,664 ","-1,390 "
"Abyei ","5,936 ","62,941 ","4,274 ","5,664 ","-1,390 "
""
"Central Equatoria ","160,981 ","1,591,044 ","150,487","205,062 ","-54,575 "
"Juba ","32,092 ","438,507 ","28,241 ","61,391 ","-33,150 "
"Kajo Keji ","40,649 ","233,737 ","45,526 ","28,049 ","17,477 "
"Lainya ","11,643 ","106,301 ","10,246 ","12,756 ","-2,510 "
"Morobo ","13,079 ","123,307 ","11,510 ","14,797 ","-3,287 "
"Returnees (by IOM) CES ","8,940 ","277,606 ","4,649 ","37,480 ","-32,831 "
"Terekeka ","26,858 ","171,831 ","21,486 ","20,620 ","866 "
"Yei ","27,720 ","239,755 ","28,829 ","29,969 ","-1,140 "
""
"Eastern Equatoria ","138,731 ","1,164,602 ","116,080","144,414 ","-28,334 "
"Budi ","14,843 ","118,107 ","10,687 ","14,173 ","-3,486 "
"Ikotos ","18,915 ","100,748 ","16,645 ","12,594 ","4,051 "
"Kapoeta East ","17,023 ","195,187 ","16,342 ","24,399 ","-8,057 "
"Kapoeta North ","9,236 ","122,689 ","8,867 ","15,337 ","-6,470 "
"Kapoeta South ","6,851 ","94,584 ","6,577 ","12,296 ","-5,719 "
"Lafon ","15,214 ","126,351 ","10,954 ","15,163 ","-4,209 "
"Magwi ","32,814 ","202,124 ","26,251 ","24,255 ","1,996 "
"Returnees (by IOM) EES ","4,351 ","86,103 ","2,611 ","10,765 ","-8,154 "
"Torit ","19,484 ","118,709 ","17,146 ","15,432 ","1,714 "
""
"Jonglei ","115,569 ","1,824,034 ","70,416","195,700 ","-125,284 "
"Akobo ","7,988 ","162,115 ","5,752 ","17,833 ","-12,081 "
"Ayod ","7,225 ","165,771 ","5,780 ","17,406 ","-11,626 "
"Bor South ","25,236 ","263,157 ","18,170 ","30,263 ","-12,093 "
"Canal/Pigi ","8,522 ","117,909 ","4,090 ","12,380 ","-8,290 "
"Duk ","6,964 ","78,062 ","2,786 ","8,197 ","-5,411 "
"Fangak ","10,616 ","131,075 ","5,096 ","13,763 ","-8,667 "
"Nyirol ","7,505 ","129,342 ","7,205 ","14,228 ","-7,023 "
"Pibor ","4,418 ","176,713 ","3,534 ","18,555 ","-15,021 "
"Pochalla ","6,003 ","78,791 ","5,763 ","7,879 ","-2,116 "
"Returnees (by IOM) JS ","10,579 ","207,047 ","3,808 ","22,775 ","-18,967 "
"Twic East ","4,422 ","101,581 ","708 ","11,174 ","-10,466 "
"Uror ","16,091 ","212,471 ","7,724 ","21,247 ","-13,523 "
""
"Lakes ","107,415 ","1,047,726 ","74,951","108,633 ","-33,682 "
"Awerial ","4,358 ","56,416 ","3,487 ","5,642 ","-2,155 "
"Cueibet ","20,227 ","140,150 ","14,563 ","14,015 ","548 "
"Returnees (by IOM) LS ","10,882 ","219,250 ","4,353 ","21,926 ","-17,573 "
"Rumbek Centre ","14,586 ","182,753 ","9,335 ","20,103 ","-10,768 "
"Rumbek East ","15,590 ","146,193 ","12,971 ","14,620 ","-1,649 "
"Rumbek North ","3,780 ","51,666 ","2,419 ","5,166 ","-2,747 "
"Wulu ","8,320 ","48,262 ","6,323 ","4,826 ","1,497 "
"Yirol East ","11,205 ","80,221 ","9,681 ","8,825 ","856 "
"Yirol West ","18,467 ","122,815 ","11,819 ","13,510 ","-1,691 "
""
"Northern Bahr El Ghazal ","115,309 ","1,326,425 ","85,090","145,908 ","-60,818 "
"Aweil Centre ","1,890 ","49,782 ","1,815 ","5,476 ","-3,661 "
"Aweil East ","47,883 ","368,863 ","34,476 ","40,575 ","-6,099 "
"Aweil North ","19,430 ","153,685 ","13,990 ","16,905 ","-2,915 "
"Aweil South ","7,507 ","87,843 ","6,006 ","9,663 ","-3,657 "
"Aweil West ","23,864 ","197,829 ","22,909 ","21,761 ","1,148 "
"Returnees (by IOM) NBGS ","14,735 ","468,423 ","5,894 ","51,528 ","-45,634 "
""
"Unity ","44,053 ","805,834 ","22,407","69,696 ","-47,289 "
"Abiemnhom ","835 ","20,247 ","267 ","1,721 ","-1,454 "
"Guit ","1,794 ","39,281 ","1,005 ","3,338 ","-2,333 "
"Koch ","6,623 ","89,101 ","5,299 ","7,573 ","-2,274 "
"Leer ","4,105 ","63,106 ","1,971 ","5,365 ","-3,394 "
"Mayendit ","4,600 ","64,012 ","2,208 ","5,441 ","-3,233 "
"Mayom ","8,869 ","143,673 ","2,838 ","12,212 ","-9,374 "
"Panyijiar ","4,515 ","60,370 ","1,445 ","5,132 ","-3,687 "
"Pariang ","6,678 ","98,122 ","4,808 ","8,341 ","-3,533 "
"Returnees (by IOM) US ","3,240 ","108,623 ","778 ","9,240 ","-8,462 "
"Rubkona ","2,794 ","119,299 ","1,788 ","11,333 ","-9,545 "
""
"Upper Nile ","93,513 ","1,479,342 ","43,366","125,564 ","-82,198 "
"Baliet ","4,029 ","57,141 ","2,578 ","4,572 ","-1,994 "
"Fashoda ","4,910 ","43,463 ","3,928 ","3,477 ","451 "
"Longochuk ","3,733 ","75,179 ","1,792 ","6,015 ","-4,223 "
"Luakpiny/Nasir ","14,100 ","249,941 ","2,256 ","19,995 ","-17,739 "
"Maban ","4,546 ","53,842 ","2,182 ","4,307 ","-2,125 "
"Maiwut ","4,725 ","94,575 ","2,268 ","7,566 ","-5,298 "
"Malakal ","5,860 ","150,538 ","4,688 ","14,301 ","-9,613 "
"Manyo ","4,654 ","45,239 ","2,979 ","3,619 ","-640 "
"Melut ","5,310 ","58,607 ","3,398 ","4,689 ","-1,291 "
"Panyikang ","2,522 ","54,067 ","1,614 ","4,325 ","-2,711 "
"Renk ","19,767 ","163,949 ","9,488 ","14,756 ","-5,268 "
"Returnees (by IOM) UNS ","13,108 ","331,583 ","4,195 ","29,844 ","-25,649 "
"Ulang ","6,249 ","101,218 ","2,000 ","8,098 ","-6,098 "
""
"Warrap ","161,008 ","1,267,371 ","96,071","124,109 ","-28,038 "
"Gogrial East ","18,138 ","122,926 ","10,883 ","11,678 ","-795 "
"Gogrial West ","39,539 ","290,311 ","24,356 ","30,483 ","-6,127 "
"Returnees (by IOM) WS ","5,770 ","172,346 ","2,077 ","17,239 ","-15,162 "
"Tonj East ","21,699 ","138,207 ","7,812 ","13,821 ","-6,009 "
"Tonj North ","25,543 ","196,645 ","16,348 ","19,664 ","-3,316 "
"Tonj South ","13,620 ","103,061 ","8,172 ","9,275 ","-1,103 "
"Twic ","36,699 ","243,875 ","26,423 ","21,949 ","4,474 "
""
"Western Bahr El Ghazal ","62,026 ","527,929 ","50,040","59,226 ","-9,186 "
"Jur River ","17,534 ","152,071 ","12,624 ","16,728 ","-4,104 "
"Raga ","9,553 ","64,675 ","7,643 ","6,467 ","1,176 "
