"State/County","Cereal area (Hectares)"," Mid-2017 Population "," 2016 Net Cereal production (Tonnes)"," 2017 Cereal Requirements (Tonnes)"," 2017 Cereal Gap (Tonnes)"
"Abyei ","8,004 ","76,684 ","8,324","6,901 ","1,423 "
"Abyei ","8,004 ","76,684 ","8,324 ","6,901 ","1,423 "
""
"Central Equatoria ","112,649 ","1,640,906 ","120,232","209,309 ","-89,077 "
"Juba ","21,051 ","552,693 ","18,524 ","77,378 ","-58,854 "
"Kajo Keji ","38,765 ","277,566 ","46,518 ","33,308 ","13,210 "
"Lainya ","9,295 ","152,865 ","9,667 ","18,344 ","-8,677 "
"Morobo ","9,783 ","201,389 ","12,522 ","24,167 ","-11,645 "
"Terekeka ","18,224 ","187,530 ","13,122 ","22,504 ","-9,382 "
"Yei ","15,531 ","268,863 ","19,879 ","33,608 ","-13,729 "
""
"Eastern Equatoria ","116,132 ","1,114,890 ","98,533","138,359 ","-39,826 "
"Budi ","19,072 ","113,906 ","15,258 ","13,669 ","1,589 "
"Ikotos ","22,651 ","135,838 ","19,933 ","16,980 ","2,953 "
"Kapoeta East ","12,033 ","196,697 ","8,664 ","24,587 ","-15,923 "
"Kapoeta North ","7,300 ","123,776 ","5,840 ","15,472 ","-9,632 "
"Kapoeta South ","5,128 ","97,324 ","2,462 ","12,652 ","-10,190 "
"Lafon ","16,822 ","139,817 ","14,804 ","16,778 ","-1,974 "
"Magwi ","15,846 ","175,829 ","17,748 ","21,099 ","-3,351 "
"Torit ","17,280 ","131,703 ","13,824 ","17,122 ","-3,298 "
""
"Jonglei ","53,626 ","1,652,614 ","34,449","185,238 ","-150,789 "
"Akobo ","5,247 ","142,092 ","4,198 ","15,630 ","-11,432 "
"Ayod ","1,029 ","174,873 ","576 ","19,236 ","-18,660 "
"Bor South ","6,534 ","158,200 ","4,182 ","18,193 ","-14,011 "
"Canal/Pigi ","1,506 ","122,354 ","759 ","13,459 ","-12,700 "
"Duk ","2,444 ","153,542 ","1,369 ","16,890 ","-15,521 "
"Fangak ","1,321 ","163,265 ","740 ","17,959 ","-17,219 "
"Nyirol ","3,688 ","135,181 ","2,360 ","14,870 ","-12,510 "
"Pibor ","7,849 ","167,574 ","5,652 ","20,109 ","-14,457 "
"Pochalla ","6,625 ","98,297 ","5,300 ","11,796 ","-6,496 "
"Twic East ","6,835 ","130,942 ","3,828 ","14,404 ","-10,576 "
"Uror ","10,548 ","206,294 ","5,485 ","22,692 ","-17,207 "
""
"Lakes ","116,753 ","1,125,060 ","106,209","123,757 ","-17,548 "
"Awerial ","7,291 ","60,545 ","5,833 ","6,660 ","-827 "
"Cueibet ","25,521 ","185,014 ","24,500 ","20,352 ","4,148 "
"Rumbek Centre ","14,409 ","250,953 ","12,680 ","27,605 ","-14,925 "
"Rumbek East ","17,490 ","198,104 ","16,790 ","21,791 ","-5,001 "
"Rumbek North ","3,972 ","56,927 ","3,178 ","6,262 ","-3,084 "
"Wulu ","11,565 ","77,211 ","11,103 ","8,493 ","2,610 "
"Yirol East ","13,540 ","126,999 ","11,916 ","13,970 ","-2,054 "
"Yirol West ","22,965 ","169,307 ","20,209 ","18,624 ","1,585 "
""
"Northern Bahr El Ghazal ","156,658 ","1,387,792 ","124,194","152,656 ","-28,462 "
"Aweil Centre ","12,294 ","115,727 ","11,311 ","12,730 ","-1,419 "
"Aweil East ","59,321 ","559,559 ","37,965 ","61,551 ","-23,586 "
"Aweil North ","34,160 ","255,630 ","28,694 ","28,119 ","575 "
"Aweil South ","14,702 ","135,268 ","12,938 ","14,879 ","-1,941 "
"Aweil West ","36,181 ","321,608 ","33,286 ","35,377 ","-2,091 "
""
"Unity ","16,089 ","1,037,035 ","8,744","90,274 ","-81,530 "
"Abiemnhom ","648 ","24,949 ","259 ","2,120 ","-1,861 "
"Guit ","488 ","48,848 ","234 ","4,152 ","-3,918 "
"Koch ","2,435 ","140,515 ","1,559 ","11,944 ","-10,385 "
"Leer ","639 ","117,947 ","358 ","10,027 ","-9,669 "
"Mayendit ","1,265 ","84,189 ","709 ","7,157 ","-6,448 "
"Mayom ","3,770 ","183,351 ","1,900 ","15,585 ","-13,685 "
