"State/County","Cereal area (Hectares)"," Mid-2018 Population "," 2017 Net Cereal production (Tonnes)"," 2018 Cereal Requirements (Tonnes)"," 2018 Cereal Gap (Tonnes)"
"Abyei ","7,557 ","78,984 ","6,650","7,108 ","-458 "
"Abyei ","7,557 ","78,984 ","6,650 ","7,108 ","-458 "
""
"Central Equatoria ","59,863 ","1,073,942 ","62,353","137,532 ","-75,179 "
"Juba ","14,950 ","392,525 ","14,352 ","54,954 ","-40,602 "
"Kajo Keji ","10,034 ","113,385 ","12,041 ","13,606 ","-1,565 "
"Lainya ","4,637 ","95,321 ","4,822 ","11,439 ","-6,617 "
"Morobo ","5,921 ","148,959 ","7,578 ","17,875 ","-10,297 "
"Terekeka ","15,771 ","162,289 ","12,617 ","19,475 ","-6,858 "
"Yei ","8,550 ","161,463 ","10,943 ","20,183 ","-9,240 "
""
"Eastern Equatoria ","107,406 ","994,188 ","93,594","123,482 ","-29,888 "
"Budi ","15,660 ","93,524 ","13,781 ","11,223 ","2,558 "
"Ikotos ","20,602 ","123,547 ","19,778 ","15,443 ","4,335 "
"Kapoeta East ","10,764 ","163,386 ","6,028 ","20,423 ","-14,395 "
"Kapoeta North ","6,540 ","103,508 ","4,186 ","12,939 ","-8,753 "
"Kapoeta South ","3,842 ","67,706 ","1,844 ","8,802 ","-6,958 "
"Lafon ","12,334 ","102,514 ","10,854 ","12,302 ","-1,448 "
"Magwi ","20,844 ","185,027 ","25,013 ","22,203 ","2,810 "
"Torit ","16,820 ","154,976 ","12,110 ","20,147 ","-8,037 "
""
"Jonglei ","54,399 ","1,776,432 ","36,573","199,334 ","-162,761 "
"Akobo ","5,615 ","171,042 ","4,492 ","18,815 ","-14,323 "
"Ayod ","1,008 ","171,324 ","565 ","18,846 ","-18,281 "
"Bor South ","8,567 ","239,321 ","5,825 ","27,522 ","-21,697 "
"Canal/Pigi ","1,214 ","98,636 ","612 ","10,850 ","-10,238 "
"Duk ","2,212 ","115,794 ","1,239 ","12,737 ","-11,498 "
"Fangak ","2,336 ","216,488 ","1,308 ","23,814 ","-22,506 "
"Nyirol ","4,168 ","174,578 ","2,667 ","19,204 ","-16,537 "
"Pibor ","7,964 ","191,272 ","6,371 ","22,953 ","-16,582 "
"Pochalla ","5,994 ","81,519 ","5,275 ","9,782 ","-4,507 "
"Twic East ","6,287 ","120,140 ","3,521 ","13,216 ","-9,695 "
"Uror ","9,034 ","196,318 ","4,698 ","21,595 ","-16,897 "
""
"Lakes ","124,532 ","1,224,831 ","112,377","134,733 ","-22,356 "
"Awerial ","13,910 ","125,132 ","11,128 ","13,764 ","-2,636 "
"Cueibet ","25,843 ","187,348 ","24,809 ","20,608 ","4,201 "
"Rumbek Centre ","13,257 ","259,744 ","11,666 ","28,573 ","-16,907 "
"Rumbek East ","18,678 ","211,556 ","17,931 ","23,271 ","-5,340 "
"Rumbek North ","4,269 ","61,174 ","4,098 ","6,729 ","-2,631 "
"Wulu ","10,516 ","70,209 ","9,254 ","7,723 ","1,531 "
"Yirol East ","14,493 ","135,929 ","12,753 ","14,953 ","-2,200 "
"Yirol West ","23,566 ","173,739 ","20,738 ","19,112 ","1,626 "
""
"Northern Bahr El Ghazal ","152,555 ","1,401,962 ","129,116","154,215 ","-25,099 "
"Aweil Centre ","11,681 ","109,954 ","10,279 ","12,095 ","-1,816 "
"Aweil East ","56,544 ","550,956 ","40,711 ","60,605 ","-19,894 "
"Aweil North ","35,251 ","280,284 ","29,611 ","30,831 ","-1,220 "
"Aweil South ","16,287 ","149,849 ","16,195 ","16,483 ","-288 "
"Aweil West ","32,792 ","310,919 ","32,320 ","34,201 ","-1,881 "
""
"Unity ","17,602 ","1,067,042 ","9,538","91,447 ","-81,909 "
"Abiemnhom ","615 ","23,659 ","246 ","2,010 ","-1,764 "
"Guit ","486 ","48,722 ","233 ","4,141 ","-3,908 "
"Koch ","2,403 ","138,628 ","1,538 ","11,783 ","-10,245 "
"Leer ","752 ","138,755 ","421 ","11,795 ","-11,374 "
"Mayendit ","1,343 ","107,228 ","752 ","9,115 ","-8,363 "
"Mayom ","3,979 ","193,524 ","2,005 ","16,449 ","-14,444 "
"Panyijiar ","2,892 ","92,132 ","1,157 ","7,831 ","-6,674 "
"Pariang ","4,519 ","249,534 ","2,892 ","21,211 ","-18,319 "
"Rubkona ","613 ","74,860 ","294 ","7,112 ","-6,818 "
""
"Upper Nile ","53,312 ","1,055,944 ","34,875","91,130 ","-56,255 "
"Baliet ","105 ","7,924 ","50 ","674 ","-624 "
"Fashoda ","110 ","13,979 ","53 ","1,188 ","-1,135 "
"Longochuk ","3,316 ","74,473 ","1,592 ","6,330 ","-4,738 "
"Luakpiny/Nasir ","9,977 ","297,365 ","6,785 ","25,276 ","-18,491 "
"Maban ","15,047 ","203,803 ","9,630 ","17,323 ","-7,693 "
"Maiwut ","1,859 ","41,501 ","967 ","3,528 ","-2,561 "
"Malakal ","484 ","74,113 ","271 ","7,040 ","-6,769 "
"Manyo ","701 ","17,190 ","477 ","1,461 ","-984 "
"Melut ","5,065 ","75,298 ","4,052 ","6,400 ","-2,348 "
"Panyikang ","665 ","24,473 ","426 ","2,080 ","-1,654 "
"Renk ","12,086 ","127,069 ","8,702 ","11,436 ","-2,734 "
"Ulang ","3,897 ","98,756 ","1,870 ","8,394 ","-6,524 "
""
"Warrap ","148,119 ","1,407,366 ","136,015","136,387 ","-372 "
"Gogrial East ","10,916 ","120,591 ","7,859 ","11,456 ","-3,597 "
"Gogrial West ","51,623 ","360,369 ","51,623 ","37,839 ","13,784 "
"Tonj East ","9,829 ","130,816 ","6,291 ","13,082 ","-6,791 "
