mint_runid,pihm-input,AQ_DEPTH,end-date,ET_ETP,ET_IC,ET_SOIL,ET_TR,GEOL_DMAC,GEOL_KMACSATH,GEOL_KSATH,GEOL_KSATV,GEOL_MACVF,GEOL_THETAR,GEOL_THETAS,IC_GW,IC_RIV,LC_ALBEDO,LC_DROOT,LC_IMPAF,LC_ISMAX,LC_ROUGH,LC_SOILDGD,LC_VEGFRAC,region-name,RIV_BEDTHICK,RIV_BSLOPE,RIV_CWR,RIV_DPTH,RIV_KH,RIV_ROUGH,RIV_SINU,RIV_WDTH,SOIL_ALPHA,SOIL_BETA,SOIL_DINF,SOIL_KINF,SOIL_KMACSATV,SOIL_MACHF,start-date,TS_LAI,TS_PRCP,TS_SFCTMP,pihm-output
f191a535fb6b003367872481b3a8fbc3,https://data.mint.isi.edu/files/wings-dev/mint/mint-test/data/pihm-input-ganale-9c2c4a61aa5f685fc4821afb948d1214.tgz,0,12/31/2018,0.8,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,ganale,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1/1/2000,1,0.9,0,https://data.mint.isi.edu/files/local-execution/pihm-output-e2523eb43e41887007d62cd51831672d
bc4b574eb012d732b34a9ebc92e09e73,https://data.mint.isi.edu/files/wings-dev/mint/mint-test/data/pihm-input-ganale-9c2c4a61aa5f685fc4821afb948d1214.tgz,0,12/31/2018,0.8,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,ganale,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1/1/2000,1,1,0,https://data.mint.isi.edu/files/local-execution/pihm-output-21319b31b89d62ad2c8932d4a0b2f08d
819ee21f833221c59be18420e2630cf0,https://data.mint.isi.edu/files/wings-dev/mint/mint-test/data/pihm-input-ganale-9c2c4a61aa5f685fc4821afb948d1214.tgz,0,12/31/2018,0.8,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,ganale,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1/1/2000,1,1.1,0,https://data.mint.isi.edu/files/local-execution/pihm-output-f19ad1cb3b925e4c2f3fd7b5d3095426
3f0141a3230862e9e614f6ea9ca88a50,https://data.mint.isi.edu/files/wings-dev/mint/mint-test/data/pihm-input-ganale-9c2c4a61aa5f685fc4821afb948d1214.tgz,0,12/31/2018,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,ganale,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1/1/2000,1,0.9,0,https://data.mint.isi.edu/files/local-execution/pihm-output-d17b58f41c259bdce546f2f9ced8d5ee
6e363e3768ee872590ef3a652e2c537e,https://data.mint.isi.edu/files/wings-dev/mint/mint-test/data/pihm-input-ganale-9c2c4a61aa5f685fc4821afb948d1214.tgz,0,12/31/2018,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,ganale,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1/1/2000,1,1,0,https://data.mint.isi.edu/files/local-execution/pihm-output-6137d4b363f563825423fa69cfb2af04
27b9979823836238813d91c13748ec93,https://data.mint.isi.edu/files/wings-dev/mint/mint-test/data/pihm-input-ganale-9c2c4a61aa5f685fc4821afb948d1214.tgz,0,12/31/2018,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,ganale,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1/1/2000,1,1.1,0,https://data.mint.isi.edu/files/local-execution/pihm-output-a74c8f2366c5b8b3ce6a9f4c31a3993f
df6e19e0788608517173cf26f5eed022,https://data.mint.isi.edu/files/wings-dev/mint/mint-test/data/pihm-input-ganale-9c2c4a61aa5f685fc4821afb948d1214.tgz,0,12/31/2018,1.2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,ganale,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1/1/2000,1,0.9,0,https://data.mint.isi.edu/files/local-execution/pihm-output-d1d1ad5e8427cdfbbfdd2ebd62033267
61002897ed7a6d2d528317cd7a1cbad1,https://data.mint.isi.edu/files/wings-dev/mint/mint-test/data/pihm-input-ganale-9c2c4a61aa5f685fc4821afb948d1214.tgz,0,12/31/2018,1.2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,ganale,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1/1/2000,1,1,0,https://data.mint.isi.edu/files/local-execution/pihm-output-1cd8db19c1ae6aa4db74896408e781f3
53ade2f7a1f935f56913d0f99932a8e6,https://data.mint.isi.edu/files/wings-dev/mint/mint-test/data/pihm-input-ganale-9c2c4a61aa5f685fc4821afb948d1214.tgz,0,12/31/2018,1.2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,ganale,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1/1/2000,1,1.1,0,https://data.mint.isi.edu/files/local-execution/pihm-output-023bec9c2a53b6795bca9a135b1b33de
