mint_runid,pihm-input,AQ_DEPTH,end-date,ET_ETP,ET_IC,ET_SOIL,ET_TR,GEOL_DMAC,GEOL_KMACSATH,GEOL_KSATH,GEOL_KSATV,GEOL_MACVF,GEOL_THETAR,GEOL_THETAS,IC_GW,IC_RIV,LC_ALBEDO,LC_DROOT,LC_IMPAF,LC_ISMAX,LC_ROUGH,LC_SOILDGD,LC_VEGFRAC,region-name,RIV_BEDTHICK,RIV_BSLOPE,RIV_CWR,RIV_DPTH,RIV_KH,RIV_ROUGH,RIV_SINU,RIV_WDTH,SOIL_ALPHA,SOIL_BETA,SOIL_DINF,SOIL_KINF,SOIL_KMACSATV,SOIL_MACHF,start-date,TS_LAI,TS_PRCP,TS_SFCTMP,pihm-output
51248349bb2258d17b74710b34663ee8,https://data.mint.isi.edu/files/wings-dev/mint/mint-test/data/pihm-input-beko-tippi-b55168b7f67ef454ed4013ffe2a4b1ea.tgz,0,12/31/2018,0.8,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,beko-tippi,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1/1/2000,1,0.9,0,https://data.mint.isi.edu/files/local-execution/pihm-output-e5f6785596bd645d242c8d1c18bc4335
ca928df307156d5a3bfa327240fbbbe0,https://data.mint.isi.edu/files/wings-dev/mint/mint-test/data/pihm-input-beko-tippi-b55168b7f67ef454ed4013ffe2a4b1ea.tgz,0,12/31/2018,0.8,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,beko-tippi,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1/1/2000,1,1,0,https://data.mint.isi.edu/files/local-execution/pihm-output-6250f417dc9254267a0f677b6e2313bb
d570ef58e10c48bb9e1eaf191e12bf40,https://data.mint.isi.edu/files/wings-dev/mint/mint-test/data/pihm-input-beko-tippi-b55168b7f67ef454ed4013ffe2a4b1ea.tgz,0,12/31/2018,0.8,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,beko-tippi,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1/1/2000,1,1.1,0,https://data.mint.isi.edu/files/local-execution/pihm-output-3dd1ab7434235b246db868690de132b0
0830de8bb389c2bc0020aa41a097b9ed,https://data.mint.isi.edu/files/wings-dev/mint/mint-test/data/pihm-input-beko-tippi-b55168b7f67ef454ed4013ffe2a4b1ea.tgz,0,12/31/2018,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,beko-tippi,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1/1/2000,1,0.9,0,https://data.mint.isi.edu/files/local-execution/pihm-output-762398574eb5c6baa7728679c5d200eb
6b0cf0b317de134a4b86e1dccad110a6,https://data.mint.isi.edu/files/wings-dev/mint/mint-test/data/pihm-input-beko-tippi-b55168b7f67ef454ed4013ffe2a4b1ea.tgz,0,12/31/2018,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,beko-tippi,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1/1/2000,1,1,0,https://data.mint.isi.edu/files/local-execution/pihm-output-8d938ebdfd7af7ef2fb6c51945e02918
8b9370c2463f207cdd941bb35deca27e,https://data.mint.isi.edu/files/wings-dev/mint/mint-test/data/pihm-input-beko-tippi-b55168b7f67ef454ed4013ffe2a4b1ea.tgz,0,12/31/2018,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,beko-tippi,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1/1/2000,1,1.1,0,https://data.mint.isi.edu/files/local-execution/pihm-output-6f26943e5fec8538e666afc46fce987b
569201cc65866191ec73d8b0d238427e,https://data.mint.isi.edu/files/wings-dev/mint/mint-test/data/pihm-input-beko-tippi-b55168b7f67ef454ed4013ffe2a4b1ea.tgz,0,12/31/2018,1.2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,beko-tippi,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1/1/2000,1,0.9,0,https://data.mint.isi.edu/files/local-execution/pihm-output-b365d902414c92c7538e6124fc323631
f8fb2b16f06a965f5f05b3afb84140b1,https://data.mint.isi.edu/files/wings-dev/mint/mint-test/data/pihm-input-beko-tippi-b55168b7f67ef454ed4013ffe2a4b1ea.tgz,0,12/31/2018,1.2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,beko-tippi,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1/1/2000,1,1,0,https://data.mint.isi.edu/files/local-execution/pihm-output-9c9016c94cd00b14f3ef6aa50c5a3b47
5e94fa3cd27b030be3ab8ccada53e575,https://data.mint.isi.edu/files/wings-dev/mint/mint-test/data/pihm-input-beko-tippi-b55168b7f67ef454ed4013ffe2a4b1ea.tgz,0,12/31/2018,1.2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,beko-tippi,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1/1/2000,1,1.1,0,https://data.mint.isi.edu/files/local-execution/pihm-output-e2650d99295ba63d91d281b213ad8166
